eventid,iyear,imonth,iday,extended,country,region,latitude,longitude,specificity,vicinity,crit1,crit2,crit3,multiple,success,suicide,attacktype1,attacktype2,targtype1,targsubtype1,natlty1,targtype2,targsubtype2,natlty2,gname,individual,nperps,nperpcap,claimed,claimmode,weaptype1,weapsubtype1,weaptype2,weapsubtype2,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propvalue,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,hostkidoutcome,nreleased,INT_LOG,INT_IDEO,INT_MISC,INT_ANY
2.00405E+11,2004,5,1,0,173,10,24.089097,38.063963,1,0,1,1,1,0,1,0,2,,1,1,199,,,,Al-Qaida in Saudi Arabia,0,4,1,0,,5,2,,,10,2,3,25,0,0,-9,,,0,,,,,,,,,,,,,,0,1,1,1
2.00405E+11,2004,5,17,0,4,6,32.173373,66.520679,3,0,1,1,1,0,1,0,9,,3,25,4,,,,Taliban,0,,0,0,,13,,,,1,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,0,0,0,0
2.00405E+11,2004,5,18,0,4,6,32.264539,68.524715,4,0,1,1,1,0,1,0,2,,2,18,4,,,,Taliban,0,,0,1,2,5,5,,,2,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,0,0,0,0
2.00406E+11,2004,6,4,0,153,6,32.687926,69.832993,1,0,1,1,1,0,1,0,3,,4,36,153,,,,Al-Qaida,0,,0,1,8,6,7,,,0,0,0,3,0,0,0,,,0,,,,,,,,,,,,,,0,1,0,1
2.00406E+11,2004,6,5,0,4,6,32.922049,65.623048,3,0,1,1,1,0,1,0,9,,2,18,4,,,,Taliban,0,,0,0,,13,,,,6,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,0,0,0,0
2.00406E+11,2004,6,13,0,173,10,24.64732,46.714581,1,0,1,1,1,0,1,0,2,,14,71,217,,,,Al-Qaida in the Arabian Peninsula (AQAP),0,,0,1,8,5,5,,,1,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,0,1,1,1
2.00406E+11,2004,6,18,0,173,10,24.64732,46.714581,1,0,1,1,1,0,1,0,6,,4,34,217,,,,Al-Qaida in the Arabian Peninsula (AQAP),0,,0,1,8,9,23,,,1,0,0,0,0,0,0,,,1,1,1,,-99,,,0,,,,,4,,0,1,1,1
2.00406E+11,2004,6,23,0,4,6,31.007976,66.398483,3,0,1,1,1,0,1,0,3,,3,23,4,,,,Taliban,0,,0,1,8,6,8,,,5,0,0,2,0,0,0,,,0,,,,,,,,,,,,,,0,0,0,0
2.00406E+11,2004,6,27,0,4,6,32.930002,66.689122,1,0,1,1,1,0,1,0,2,,14,67,4,,,,Taliban,0,,0,0,,5,5,,,10,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,0,0,0,0
2.00407E+11,2004,7,21,0,186,6,7.219392,81.849757,1,0,1,1,1,0,1,0,1,,2,15,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,,0,0,,5,5,,,1,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,0,0,0,0
2.00408E+11,2004,8,16,0,186,6,6.941837,79.861687,1,0,1,1,1,0,1,0,1,,2,15,186,10,53,186,Liberation Tigers of Tamil Eelam (LTTE),0,2,0,-9,,5,5,,,1,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,0,0,0,0
